Q,A
"What was december at December 31, 2018?","December at December 31, 2018 was €2,024 million."
"What was december at December 31, 2019?","December at December 31, 2019 was €31 million."
"What was certain clients enjoy limited financial guarantees issued by the group and totaling € at December 31, 2018?","Certain clients enjoy limited financial guarantees issued by the Group and totaling € at December 31, 2018 was €1,674 million."
"What was certain clients enjoy limited financial guarantees issued by the group and totaling € at December 31, 2019?","Certain clients enjoy limited financial guarantees issued by the Group and totaling € at December 31, 2019 was €2,024 million."
"What was certain clients enjoy limited financial guarantees issued by the group and totaling € at December 31, 2029?","Certain clients enjoy limited financial guarantees issued by the Group and totaling € at December 31, 2029 was €31 million."
"What was million at december at December 31, 2018?","million at December at December 31, 2018 was €2,023 million."
"What was million at december at December 31, 2019?","million at December at December 31, 2019 was €31 million."
"What was hence, bank guarantees on operational contracts borne by the group are totaling € at December 31, 2018?","Hence, bank guarantees on operational contracts borne by the Group are totaling € at December 31, 2018 was €231 million."
"What was hence, bank guarantees on operational contracts borne by the group are totaling € at December 31, 2019?","Hence, bank guarantees on operational contracts borne by the Group are totaling € at December 31, 2019 was €2,024 million."
"What was hence, bank guarantees on operational contracts borne by the group are totaling € at December 31, 2029?","Hence, bank guarantees on operational contracts borne by the Group are totaling € at December 31, 2029 was €31 million."
"What was term or of assets with a low value (except it equipment). these commitments total € at December 31, 2018?","term or of assets with a low value (except IT equipment). These commitments total € at December 31, 2018 was €2,024 million."
"What was term or of assets with a low value (except it equipment). these commitments total € at December 31, 2019?","term or of assets with a low value (except IT equipment). These commitments total € at December 31, 2019 was €31 million."
"What was term or of assets with a low value (except it equipment). these commitments total € at December 31, 2029?","term or of assets with a low value (except IT equipment). These commitments total € at December 31, 2029 was €212 million."
"What was € at December 31, 2018?","€ at December 31, 2018 was €2,023 million."
"What was € at December 31, 2019?","€ at December 31, 2019 was €31 million."
"What was € at December 31, 2029?","€ at December 31, 2029 was €207 million."
"What was other commitments given total € at December 31, 2018?","Other commitments given total € at December 31, 2018 was €2,024 million."
"What was other commitments given total € at December 31, 2019?","Other commitments given total € at December 31, 2019 was €31 million."
"What was other commitments given total € at December 31, 2029?","Other commitments given total € at December 31, 2029 was €140 million."
"What was other commitments received total € at December 31, 2018?","Other commitments received total € at December 31, 2018 was €2,024 million."
"What was other commitments received total € at December 31, 2019?","Other commitments received total € at December 31, 2019 was €31 million."
"What was other commitments received total € at December 31, 2029?","Other commitments received total € at December 31, 2029 was €34 million."
"What was proposed adjustments were challenged and litigation and pre-litigation proceedings were in progress on december at December 31, 2018?","Proposed adjustments were challenged and litigation and pre-litigation proceedings were in progress on December at December 31, 2018 was €2,024 million."
"What was proposed adjustments were challenged and litigation and pre-litigation proceedings were in progress on december at December 31, 2019?","Proposed adjustments were challenged and litigation and pre-litigation proceedings were in progress on December at December 31, 2019 was €31 million."
"What was the table below provides a breakdown of the at December 31, 2018?","The table below provides a breakdown of the at December 31, 2018 was €2,024 million."
"What was the table below provides a breakdown of the at December 31, 2019?","The table below provides a breakdown of the at December 31, 2019 was €2,023 million."
"What was management present at each year-end at December 31, 2018?","management present at each year-end at December 31, 2018 was €2,023 million."
"What was management present at each year-end at December 31, 2019?","management present at each year-end at December 31, 2019 was €38 million."
"What was management present at each year-end at December 31, 2029?","management present at each year-end at December 31, 2029 was €2,024 million."
"What was at the shareholders’ meeting, the board of directors will recommend a dividend payout to capgemini se shareholders of € at December 31, 2018?","At the Shareholders’ Meeting, the Board of Directors will recommend a dividend payout to Capgemini SE shareholders of € at December 31, 2018 was €40 million."
"What was at the shareholders’ meeting, the board of directors will recommend a dividend payout to capgemini se shareholders of € at December 31, 2019?","At the Shareholders’ Meeting, the Board of Directors will recommend a dividend payout to Capgemini SE shareholders of € at December 31, 2019 was €3 million."
"What was respect of at December 31, 2018?","respect of at December 31, 2018 was €2,023 million."
"What was respect of at December 31, 2019?","respect of at December 31, 2019 was €40 million."
"What was respect of at December 31, 2029?","respect of at December 31, 2029 was €3 million."
"What was companies at december at December 31, 2018?","companies at December at December 31, 2018 was €2,024 million."
"What was companies at december at December 31, 2019?","companies at December at December 31, 2019 was €31 million."
"What was list of the main companies consolidated at december at December 31, 2018?","List of the main companies consolidated at December at December 31, 2018 was €2,024 million."
"What was list of the main companies consolidated at december at December 31, 2019?","List of the main companies consolidated at December at December 31, 2019 was €31 million."
"What was (for the year ended december at December 31, 2018?","(For the year ended December at December 31, 2018 was €2,024 million."
"What was (for the year ended december at December 31, 2019?","(For the year ended December at December 31, 2019 was €31 million."
"What was for the year ended december at December 31, 2018?","for the year ended December at December 31, 2018 was €2,024 million."
"What was for the year ended december at December 31, 2019?","for the year ended December at December 31, 2019 was €31 million."
"What was position of the group as at december at December 31, 2018?","position of the Group as at December at December 31, 2018 was €2,024 million."
"What was position of the group as at december at December 31, 2019?","position of the Group as at December at December 31, 2019 was €31 million."
"What was for statutory auditors, for the period from january at December 31, 2018?","for Statutory auditors, for the period from January at December 31, 2018 was €2,024 million."
"What was for statutory auditors, for the period from january at December 31, 2019?","for Statutory auditors, for the period from January at December 31, 2019 was €1 million."
"What was prohibited non-audit services referred to in article at December 31, 2018?","prohibited non-audit services referred to in Article at December 31, 2018 was (1) million."
"What was prohibited non-audit services referred to in article at December 31, 2019?","prohibited non-audit services referred to in Article at December 31, 2019 was €5 million."
"What was regulation (eu) no at December 31, 2018?","Regulation (EU) No at December 31, 2018 was €2,014 million."
"What was regulation (eu) no at December 31, 2019?","Regulation (EU) No at December 31, 2019 was €537 million."
"What was in accordance with the requirements of articles l at December 31, 2018?","In accordance with the requirements of Articles L at December 31, 2018 was (53) million."
"What was in accordance with the requirements of articles l at December 31, 2019?","In accordance with the requirements of Articles L at December 31, 2019 was €821 million."
"What was as of december at December 31, 2018?","As of December at December 31, 2018 was €12,343 million."
"What was as of december at December 31, 2019?","As of December at December 31, 2019 was €2,024 million."
"What was as of december at December 31, 2029?","As of December at December 31, 2029 was €31 million."
"What was referred to in section i of article l at December 31, 2018?","referred to in section I of Article L at December 31, 2018 was (2) million."
"What was referred to in section i of article l at December 31, 2019?","referred to in section I of Article L at December 31, 2019 was (1) million."
"What was referred to in section i of article l at December 31, 2029?","referred to in section I of Article L at December 31, 2029 was €451 million."
"What was commission delegated regulation (eu) at December 31, 2018?","Commission Delegated Regulation (EU) at December 31, 2018 was €17 million."
"What was commission delegated regulation (eu) at December 31, 2019?","Commission Delegated Regulation (EU) at December 31, 2019 was €815 million."
"What was commission delegated regulation (eu) at December 31, 2029?","Commission Delegated Regulation (EU) at December 31, 2029 was €2,019 million."
"What was annual general meeting held on may at December 31, 2018?","Annual General Meeting held on May at December 31, 2018 was €1,996 million."
"What was annual general meeting held on may at December 31, 2019?","Annual General Meeting held on May at December 31, 2019 was €24 million."
"What was pricewaterhousecoopers audit and on may at December 31, 2018?","PricewaterhouseCoopers Audit and on May at December 31, 2018 was €2,020 million."
"What was pricewaterhousecoopers audit and on may at December 31, 2019?","PricewaterhouseCoopers Audit and on May at December 31, 2019 was €20 million."
"What was as at december at December 31, 2018?","As at December at December 31, 2018 was €2,024 million."
"What was as at december at December 31, 2019?","As at December at December 31, 2019 was €31 million."
"What was forvis mazars were in the at December 31, 2018?","Forvis Mazars were in the at December 31, 2018 was €5 million."
"What was forvis mazars were in the at December 31, 2019?","Forvis Mazars were in the at December 31, 2019 was €29 million."
"What was as specified in article l at December 31, 2018?","As specified in Article L at December 31, 2018 was (55) million."
"What was as specified in article l at December 31, 2019?","As specified in Article L at December 31, 2019 was €821 million."
"What was articles l at December 31, 2018?","Articles L at December 31, 2018 was (34) million."
"What was articles l at December 31, 2019?","Articles L at December 31, 2019 was €821 million."
"What was articles l at December 31, 2029?","Articles L at December 31, 2029 was (27) million."
"What was neuilly-sur-seine and courbevoie, february at December 31, 2018?","Neuilly-sur-Seine and Courbevoie, February at December 31, 2018 was €2,025 million."
"What was neuilly-sur-seine and courbevoie, february at December 31, 2019?","Neuilly-sur-Seine and Courbevoie, February at December 31, 2019 was €24 million."
What was in in 2023?,"In in 2023 was €2,023 million."
What was in in 2024?,"In in 2024 was €2,525 million."
What was basis and contain numerous different clauses. these leases are generally entered into for terms of in 2022?,basis and contain numerous different clauses. These leases are generally entered into for terms of in 2022 was €5 million.
What was the group leases vehicles for certain employees in france and internationally. these leases are generally entered into for terms of in 2022?,The Group leases vehicles for certain employees in France and internationally. These leases are generally entered into for terms of in 2022 was €5 million.
What was december in 2022?,"December in 2022 was €2,023 million."
What was at january in 2022?,"At January in 2022 was €2,022 million."
What was at december in 2022?,"At December in 2022 was €2,023 million."
What was no impairment losses were recognized at december in 2022?,"No impairment losses were recognized at December in 2022 was €2,023 million."
What was cash generating units as of december in 2022?,"Cash Generating Units as of December in 2022 was €2,023 million."
What was recognized tax loss carry-forwards total € in 2022?,"Recognized tax loss carry-forwards total € in 2022 was €2,022 million."
What was recognized tax loss carry-forwards total € in 2023?,Recognized tax loss carry-forwards total € in 2023 was €31 million.
What was between in 2022?,Between in 2022 was €15 million.
What was tax loss carry-forwards total € in 2022?,"Tax loss carry-forwards total € in 2022 was €2,022 million."
What was states in the amount of € in 2022?,States in the amount of € in 2022 was €31 million.
What was states in the amount of € in 2023?,States in the amount of € in 2023 was €242 million.
"What was at december at December 31, 2028?","At December at December 31, 2028 was €2,023 million."
"What was contracts of € at December 31, 2028?","contracts of € at December 31, 2028 was €348 million."
"What was hence, certain clients enjoy limited financial guarantees issued by the group and totaling € at December 31, 2018?","Hence, certain clients enjoy limited financial guarantees issued by the Group and totaling € at December 31, 2018 was €2,023 million."
"What was hence, certain clients enjoy limited financial guarantees issued by the group and totaling € at December 31, 2019?","Hence, certain clients enjoy limited financial guarantees issued by the Group and totaling € at December 31, 2019 was €31 million."
"What was hence, certain clients enjoy limited financial guarantees issued by the group and totaling € at December 31, 2028?","Hence, certain clients enjoy limited financial guarantees issued by the Group and totaling € at December 31, 2028 was €1,674 million."
"What was furthermore, bank guarantees on operational contracts borne by the group are totaling € at December 31, 2018?","Furthermore, bank guarantees on operational contracts borne by the Group are totaling € at December 31, 2018 was €2,023 million."
"What was furthermore, bank guarantees on operational contracts borne by the group are totaling € at December 31, 2019?","Furthermore, bank guarantees on operational contracts borne by the Group are totaling € at December 31, 2019 was €31 million."
"What was furthermore, bank guarantees on operational contracts borne by the group are totaling € at December 31, 2028?","Furthermore, bank guarantees on operational contracts borne by the Group are totaling € at December 31, 2028 was €231 million."
"What was term or of assets with a low value (except it equipment). these commitments total € at December 31, 2028?","term or of assets with a low value (except IT equipment). These commitments total € at December 31, 2028 was €207 million."
"What was other commitments given total € at December 31, 2028?","Other commitments given total € at December 31, 2028 was €70 million."
"What was other commitments received total € at December 31, 2028?","Other commitments received total € at December 31, 2028 was €81 million."
"What was management present at each year-end at December 31, 2028?","management present at each year-end at December 31, 2028 was €2,023 million."
"What was at the shareholders’ meeting, the board of directors will recommend a dividend payout to capgemini se shareholders of at December 31, 2018?","At the Shareholders’ Meeting, the Board of Directors will recommend a dividend payout to Capgemini SE shareholders of at December 31, 2018 was €40 million."
"What was at the shareholders’ meeting, the board of directors will recommend a dividend payout to capgemini se shareholders of at December 31, 2019?","At the Shareholders’ Meeting, the Board of Directors will recommend a dividend payout to Capgemini SE shareholders of at December 31, 2019 was €3 million."
"What was respect of at December 31, 2028?","respect of at December 31, 2028 was €3 million."
"What was as of december at December 31, 2028?","As of December at December 31, 2028 was €31 million."
"What was by article l at December 31, 2018?","by Article L at December 31, 2018 was (1) million."
"What was by article l at December 31, 2019?","by Article L at December 31, 2019 was (102) million."
"What was by article l at December 31, 2028?","by Article L at December 31, 2028 was €225 million."
"What was article l at December 31, 2018?","Article L at December 31, 2018 was (10) million."
"What was article l at December 31, 2019?","Article L at December 31, 2019 was €823 million."
"What was referred to in section i of article l at December 31, 2028?","referred to in section I of Article L at December 31, 2028 was €451 million."
"What was commission delegated regulation (eu) at December 31, 2028?","Commission Delegated Regulation (EU) at December 31, 2028 was €2,019 million."
"What was articles l at December 31, 2028?","Articles L at December 31, 2028 was (27) million."
"What was diverse group of at December 31, 2018?","diverse group of at December 31, 2018 was €50 million."
"What was diverse group of at December 31, 2019?","diverse group of at December 31, 2019 was €340,000 million."
"What was reported at December 31, 2018?","reported at December 31, 2018 was €5 million."
"What was reported at December 31, 2019?","reported at December 31, 2019 was €22 million."
"What was reported at December 31, 2028?","reported at December 31, 2028 was €2,023 million."
What was in in 2022?,"In in 2022 was €2,022 million."
